size,file,constructorCount,declarationCount,expressionCount,groupingOrIIFECount,arrowCount,totalCount
8,drift/src/about/about.js,0,0,0,0,3,3
16,drift/src/async/async.js,0,0,0,0,22,22
8,drift/src/clipboard/clipboard.js,0,0,0,0,21,21
24,drift/src/data/data.js,1,0,0,0,20,21
8,drift/src/dataflow/_act.js,0,0,0,0,2,2
8,drift/src/dataflow/_apply.js,0,0,0,0,1,1
8,drift/src/dataflow/_isSignal.js,0,0,0,0,0,0
8,drift/src/dataflow/_lift.js,0,0,0,0,3,3
8,drift/src/dataflow/_link.js,0,0,0,0,0,0
8,drift/src/dataflow/_merge.js,0,0,0,0,3,3
8,drift/src/dataflow/_react.js,0,0,0,0,2,2
8,drift/src/dataflow/_unlink.js,0,0,0,0,0,0
8,drift/src/dataflow/createObservableFunction.js,0,0,0,0,2,2
8,drift/src/dataflow/createSignal.js,0,0,0,0,0,0
8,drift/src/dataflow/createSignals.js,0,0,0,0,0,0
8,drift/src/dataflow/createSlot.js,0,0,0,0,2,2
8,drift/src/dataflow/createSlots.js,0,0,0,0,4,4
8,drift/src/dataflow/dataflow.js,0,0,0,0,1,1
8,drift/src/dataflow/isObservableFunction.js,0,0,0,0,0,0
8,drift/src/dialogs/dialogs.js,0,0,0,0,5,5
8,drift/src/error/error.js,0,0,0,0,2,2
8,drift/src/failure/failure.js,0,0,0,0,3,3
8,drift/src/flow/flow.js,0,0,0,0,3,3
8,drift/src/flowAlertDialog.js,0,0,0,0,1,1
8,drift/src/flowAnalytics.js,0,0,0,0,5,5
8,drift/src/flowApplication.js,0,0,0,0,0,0
8,drift/src/flowApplicationContext.js,0,0,0,0,0,0
8,drift/src/flowAutosave.js,0,0,0,0,4,4
8,drift/src/flowBrowser.js,0,0,0,0,15,15
16,drift/src/flowCell.js,0,0,0,0,14,14
8,drift/src/flowCoffeescript/coalesceScopes.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/compileCoffeescript.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/compileJavascript.js,1,0,0,0,0,1
8,drift/src/flowCoffeescript/createGlobalScope.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/createLocalScope.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/createRootScope.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/deleteAstNode.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/executeJavascript.js,0,0,0,0,1,1
8,drift/src/flowCoffeescript/flowCoffeescript.js,0,0,0,0,8,8
8,drift/src/flowCoffeescript/generateJavascript.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/identifyDeclarations.js,0,0,0,0,1,1
8,drift/src/flowCoffeescript/isRoutine.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/parseDeclarations.js,0,0,0,0,1,1
8,drift/src/flowCoffeescript/parseJavascript.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/print.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/removeHoistedDeclarations.js,0,0,0,0,2,2
8,drift/src/flowCoffeescript/render.js,0,0,0,0,7,7
8,drift/src/flowCoffeescript/rewriteJavascript.js,0,0,0,0,2,2
8,drift/src/flowCoffeescript/safetyWrapCoffeescript.js,0,0,0,0,2,2
8,drift/src/flowCoffeescript/traverseJavascript.js,0,0,0,0,0,0
8,drift/src/flowCoffeescript/traverseJavascriptScoped.js,0,0,0,0,0,0
8,drift/src/flowConfirmDialog.js,0,0,0,0,2,2
8,drift/src/flowFileOpenDialog.js,0,0,0,0,8,8
8,drift/src/flowFileUploadDialog.js,0,0,0,0,4,4
8,drift/src/flowForm.js,0,0,0,0,0,0
8,drift/src/flowGrowl.js,0,0,0,0,1,1
8,drift/src/flowHeading.js,0,0,0,0,1,1
8,drift/src/flowMarkdown.js,0,0,0,0,1,1
8,drift/src/flowOutline.js,0,0,0,0,0,0
8,drift/src/flowPreludeFunction.js,0,0,0,0,12,12
8,drift/src/flowRaw.js,0,0,0,0,1,1
8,drift/src/flowSandbox.js,0,0,0,0,0,0
8,drift/src/flowSidebar.js,0,0,0,0,13,13
8,drift/src/flowStatus.js,0,0,0,0,3,3
8,drift/src/format/format.js,0,0,0,0,5,5
8,drift/src/gui/gui.js,0,0,0,0,13,13
8,drift/src/h2oApplication.js,0,0,0,0,0,0
8,drift/src/h2oApplicationContext.js,0,0,0,0,0,0
8,drift/src/h2oAssist.js,0,0,0,0,2,2
8,drift/src/h2oAutoModelInput.js,0,0,0,0,8,8
8,drift/src/h2oBindFramesOutput.js,0,0,0,0,1,1
8,drift/src/h2oCancelJobOutput.js,0,0,0,0,0,0
24,drift/src/h2oCloudOutput.js,0,0,0,0,35,35
8,drift/src/h2oColumnSummaryOutput.js,0,0,0,0,8,8
8,drift/src/h2oCreateFrameInput.js,0,0,0,0,1,1
8,drift/src/h2oDataFrameOutput.js,0,0,0,0,1,1
8,drift/src/h2oDataFramesOutput.js,0,0,0,0,1,1
8,drift/src/h2oDeleteObjectsOutput.js,0,0,0,0,0,0
8,drift/src/h2oExportFrameInput.js,0,0,0,0,4,4
8,drift/src/h2oExportFrameOutput.js,0,0,0,0,0,0
8,drift/src/h2oExportModelInput.js,0,0,0,0,4,4
8,drift/src/h2oExportModelOutput.js,0,0,0,0,0,0
8,drift/src/h2oFrameDataOutput.js,0,0,0,0,10,10
16,drift/src/h2oFrameOutput.js,0,0,0,0,24,24
8,drift/src/h2oFramesOutput.js,0,0,0,0,14,14
16,drift/src/h2oGridOutput.js,0,0,0,0,22,22
8,drift/src/h2oGridsOutput.js,0,0,0,0,4,4
8,drift/src/h2oH2OFrameOutput.js,0,0,0,0,1,1
16,drift/src/h2oImportFilesInput.js,0,0,0,0,24,24
8,drift/src/h2oImportFilesOutput.js,0,0,0,0,3,3
8,drift/src/h2oImportModelInput.js,0,0,0,0,2,2
8,drift/src/h2oImportModelOutput.js,0,0,0,0,1,1
8,drift/src/h2oImputeInput/createOptions.js,0,0,0,0,0,0
8,drift/src/h2oImputeInput/h2oImputeInput.js,0,0,0,0,10,10
8,drift/src/h2oInspectOutput.js,0,0,0,0,2,2
8,drift/src/h2oInspectsOutput.js,0,0,0,0,4,4
8,drift/src/h2oJobsOutput.js,0,0,0,0,9,9
8,drift/src/h2oLogFileOutput.js,0,0,0,0,5,5
8,drift/src/h2oMergeFramesInput.js,0,0,0,0,10,10
8,drift/src/h2oMergeFramesOutput.js,0,0,0,0,1,1
8,drift/src/h2oModelInput/createCheckboxControl.js,0,0,0,0,0,0
8,drift/src/h2oModelInput/createControl.js,0,0,0,0,2,2
8,drift/src/h2oModelInput/createControlFromParameter.js,0,0,0,0,0,0
8,drift/src/h2oModelInput/createDropdownControl.js,0,0,0,0,1,1
8,drift/src/h2oModelInput/createGridableValues.js,0,0,0,0,1,1
8,drift/src/h2oModelInput/createListControl/blockSelectionUpdates.js,0,0,0,0,0,0
8,drift/src/h2oModelInput/createListControl/changeSelection.js,0,0,0,0,0,0
8,drift/src/h2oModelInput/createListControl/createEntry.js,0,0,0,0,1,1
16,drift/src/h2oModelInput/createListControl/createListControl.js,0,0,0,0,15,15
8,drift/src/h2oModelInput/createListControl/filterItems.js,0,0,0,0,0,0
8,drift/src/h2oModelInput/createListControl/incrementSelectionCount.js,0,0,0,0,0,0
8,drift/src/h2oModelInput/createTextboxControl.js,0,0,0,0,2,2
8,drift/src/h2oModelInput/h2oModelBuilderForm/collectParameters.js,0,0,0,0,1,1
8,drift/src/h2oModelInput/h2oModelBuilderForm/findControl.js,0,0,0,0,0,0
24,drift/src/h2oModelInput/h2oModelBuilderForm/h2oModelBuilderForm.js,0,0,0,0,19,19
8,drift/src/h2oModelInput/h2oModelBuilderForm/parameterTemplateOf.js,0,0,0,0,0,0
8,drift/src/h2oModelInput/h2oModelBuilderForm/performValidations.js,0,0,0,0,2,2
8,drift/src/h2oModelInput/h2oModelInput.js,0,0,0,0,7,7
8,drift/src/h2oModelInput/populateFramesAndColumns.js,0,0,0,0,5,5
72,drift/src/h2oModelOutput.js,0,0,0,0,71,71
16,drift/src/h2oModelsOutput.js,0,0,0,0,19,19
8,drift/src/h2oNetworkTestOutput.js,0,0,0,0,2,2
8,drift/src/h2oNoAssist.js,0,0,0,0,0,0
24,drift/src/h2oPartialDependenceInput.js,0,0,0,0,26,26
8,drift/src/h2oPartialDependenceOutput.js,0,0,0,0,6,6
8,drift/src/h2oPlotInput.js,0,0,0,0,3,3
8,drift/src/h2oPlotOutput.js,0,0,0,0,0,0
16,drift/src/h2oPredictInput.js,0,0,0,0,13,13
8,drift/src/h2oPredictOutput.js,0,0,0,0,8,8
16,drift/src/h2oPredictsOutput.js,0,0,0,0,16,16
8,drift/src/h2oProfileOutput.js,0,0,0,0,4,4
8,drift/src/h2oProxy/cacheModelBuilders.js,0,0,0,0,0,0
8,drift/src/h2oProxy/composePath.js,0,0,0,0,1,1
8,drift/src/h2oProxy/deleteAllRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/deleteModelRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/deleteObjectRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/doDelete.js,0,0,0,0,0,0
8,drift/src/h2oProxy/doGet.js,0,0,0,0,0,0
8,drift/src/h2oProxy/doPost.js,0,0,0,0,0,0
8,drift/src/h2oProxy/doPostJSON.js,0,0,0,0,0,0
8,drift/src/h2oProxy/doPut.js,0,0,0,0,0,0
8,drift/src/h2oProxy/doUpload.js,0,0,0,0,0,0
8,drift/src/h2oProxy/download.js,0,0,0,0,0,0
8,drift/src/h2oProxy/encodeArrayForPost.js,0,0,0,0,1,1
8,drift/src/h2oProxy/encodeObject.js,0,0,0,0,0,0
8,drift/src/h2oProxy/encodeObjectForPost.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getAboutRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getCloudRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getColumnSummaryRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getDataFramesRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getEndpointRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getEndpointsRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getExportModelRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getFrameSummarySliceRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getGridRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getGridsRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getIsStorageConfiguredRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getJobRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getJobsRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getLines.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getLogFileRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getModelBuilderRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getModelBuildersVisibilityRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getModelRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getModelsRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getNetworkTestRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getObjectExistsRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getObjectRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getObjectsRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getPredictionRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/getPredictionsRequest.js,0,0,0,0,3,3
8,drift/src/h2oProxy/getProfileRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getRDDsRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getSchemaRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getSchemasRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getStackTraceRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/getTimelineRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/h2oProxy.js,0,0,0,0,4,4
8,drift/src/h2oProxy/http.js,0,0,0,0,3,3
8,drift/src/h2oProxy/mapWithKey.js,0,0,0,0,0,0
8,drift/src/h2oProxy/optsToString.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postAsDataFrameRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postAsH2OFrameFromDFRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postAsH2OFrameFromRDDRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postAutoModelBuildRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postCancelJobRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/postCreateFrameRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postEchoRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postExportFrameRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postImportModelRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postModelBuildRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postModelInputValidationRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postParseFilesRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postParseSetupPreviewRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postParseSetupRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postPartialDependenceDataRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/postPartialDependenceRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postPredictRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/postPutObjectRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/postScalaCodeRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postScalaIntpRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postShutdownRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postUploadFileRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postUploadObjectRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestDeleteFrame.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestExec.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFileGlob.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestFlow.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestFrame.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFrames.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFrameSlice.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFrameSummary.js,0,0,0,0,1,1
